price,discount,selling_proposition,product_title,rank_number,rank_type,rank_category,is_ranked
7.0,0,40,"Portable Outdoor Party Stage Bubble Blower Toy, Full Automatic Bubble Blowing Machine With One-Click Operation (Battery And Bubble Water Not Included), Summer,Pool Toys Suitable For Pool Games,Pool Party",,,,0
11.49,12,0,SHEIN EZwear Women's Spider Web Pattern Zip Up Hoodie,7.0,Best Seller,In Long Sleeve Women Sweatshirts,1
7.04,25,0,Wide Waistband Sports Skort With Phone Pocket,4.0,Best Sellers,Plain Women Sports Skirts & Skorts,1
18.14,31,0,SHEIN Yoga Basic Women Pit Strip Yoga Sportswear Set,2.0,Best Sellers,Asymmetrical Neck Women Activewear,1
2.42,22,0,"1pc Letter Series 3 Black Base Colorful Letters & Holographic Flower Pattern Cute Heart Printed Apron, Perfect For Parties And Weddings, Made Of Peach Skin Fabric",7.0,Best Sellers,Aprons,1
1.36,55,0,"1pc Summer Outdoor Sports Universal Waterproof Phone Case Water Proof Bag Swim Cover Beach Bag With Floating Airbag,Mobile Phone Waterproof Bag, Cruise Essentials Sport Bag Sports Bag,Universal Touch Screen Lanyard Mobile Phone Bag Swim Dive Protective Cover Sports Bag School Supplies School Stuff For School For Student Phone Case ,Outdoor Sports Beach Phone Protective Bag , Beach Accessories, For Boating Swimming Snorkeling Kayaking Beach Pool Water Park Sport Bag Phone Pouch For Vacation For Exercise For TravelFor IPhone 13 12 11 Pro Max X XS / Samsung And Other Cell Phones",9.0,Best Sellers,Waterproof Cellphone Pouches,1
54.42,28,0,"Sweetcrispy Set Of 2 Zero Cravity Lounge Chairs,Ergonomic Adjustable Lying Angle Sturdy Steel& Mesh Support,Outdoor Patio Folding Recliners For Pool Beach With Pillow And Cup Holder",4.0,Best Sellers,Beach Chair,1
1.2,0,0,"1/5/10 Pair Essential Ankle Socks, Soft & Lightweight All-Match Low Cut Ankle Socks, Women's Stockings & Hosiery",1.0,Best Sellers,Athletic Socks,1
5.99,9,0,Yoga Basic Seamless Crisscross Back Sports Bra,1.0,Best Sellers,Seamless Women Sports Bras,1
11.63,25,0,"Unisex Beach Shoes, Water Shoes, Fitness Shoes, Five-Finger Swimming Shoes, Outdoor Wading Shoes For Couples",7.0,Best Sellers,Women Water Shoes,1
10.28,15,9300,"SHEIN EZwear Women's Hooded Sweatshirt With Letter Print And Drawstring Closure, Fleece-Lined",,,,0
14.99,25,0,SHEIN Sport Easify Women's Summer Striped Zipper Sports Jumpsuit And Lightweight Sports Shorts 2pcs Outfit,7.0,Best Sellers,Women Active Dresses,1
19.99,7,100,SHEIN Sport Gameset Plus Size Women's Simple Solid Color Sleeveless Vest 3pcs Set,,,,0
6.29,25,400,Yoga Trendy Ombre Raglan Sleeve Curved Hem Sports Tee,,,,0
8.55,31,1100,SHEIN Yoga Basic 2 in 1 Sports Leggings With Cellphone Pocket,,,,0
6.34,31,0,Yoga Basic Camo Print Sports Tank Top,4.0,Best Sellers,Camo Women Active Tops,1
5.23,5,0,"Outdoor Handheld Gatling Bubble Gun, One-Click Release, Multi-Hole Rocket Launcher Bubble Blower (Battery And Bubble Water Not Included),Pool Toys Suitable For Pool Games,Pool Party",5.0,Best Sellers,Outdoor Games,1
10.49,30,2000,SHEIN Sport Gameset Plus 2 In 1 Sports Skort With Phone Pocket,,,,0
27.59,0,100,TELALEO 5 Pack Workout Tank Tops For Women Sleeveless Athletic Yoga Gym Tank Tops Quick Dry Loose Fit Sports Shirts,,,,0
15.67,25,2500,SHEIN Daily&Casual Women's Three Piece Sportswear Set,,,,0
10.64,25,6700,VUTRU Women's Slim Fit Athletic Jacket With Thumbholes Compression Shirt,,,,0
8.49,43,700,SHEIN Daily&Casual 4pcs Solid Crop Sports Bra,,,,0
7.57,25,2200,SHEIN Sport Gameset Solid Pleated Sports Skort,,,,0
14.55,31,900,SHEIN Sport Gameset Plus Size Women Summer Solid Color Casual Round Neck Sporty Tank Top 3-Piece Set,,,,0
1.9,5,40,"2pcs/Set Black And White Portable Mini Clear Zipper Key Pouch Keychain, Compact Multi-Function Storage Bag, Earphone And Charger Case With Keychain, Transparent Travel Accessory",,,,0
6.11,47,400,1 Piece Adult Pool Floating Chair Pool Float Boat Inflatable Floating Row Backrest Foldable Chair Portable Lounge Chair Floating Bed Multifunctional Water Hammock Pool Float Boat,,,,0
10.49,30,0,SHEIN Sport Gameset Plus 2 In 1 Sports Skort With Phone Pocket,3.0,Best Sellers,Plain Plus Size Sports Skirts & Skorts,1
15.67,25,0,SHEIN Daily&Casual Women's Three Piece Sportswear Set,8.0,Best Sellers,Criss Cross Women Sports Sets,1
10.64,25,0,VUTRU Women's Slim Fit Athletic Jacket With Thumbholes Compression Shirt,8.0,Best Sellers,Plain Women Active Tops,1
1.96,22,60,"1pc Golf Tee Holder, Golf Ball Carry Bag Pouch Golf Ball Holder Keychain Belt Clip, Golf Gifts Accessories",,,,0
15.14,25,300,"Women Slogan Printed Crop Top, High Waist Leggings And Solid Color Back-Crossed Crop Top Sports 3-Piece Set",,,,0
6.22,25,600,SHEIN Sport Seamluxe Women's Seamless Front Closure Crossback Sports Bra,,,,0
6.96,44,600,"1pc Outdoor Solar Powered Simulation Flower Lily Plug In Lawn Lamp For Yard Garden Lawn Decoration, Multi-Colors, Intelligent Light Control",,,,0
0.6,60,600,2/4pcs Women's High-Heel Foot Pads Anti-Slip Half Insole Forefoot Pad Foot Care Shoe Cushion,,,,0
5.96,16,60,"Funny Golf Towel Gift For Dad & Mom, Retirement Gifts For Men & Women Golfer, Funny Golf Towel For Men & Women, Embroidered Golf Towels For Golf Bags With Clip (Golf Diva)",,,,0
6.99,0,100,Women's Moisture Wicking Running Sport Fitness Short Sleeve T-Shirt,,,,0
3.27,57,40,"2024 New Household Dustproof Food Cover, Multifunctional Pop-Up Folding High-Density Mesh Tent, Dustproof, Mosquito Proof, Fly Proof, Suitable For Outdoor Use, Kitchen, Restaurant, Party, Picnic, Barbecue, Reusable, Kitchen Supplies",,,,0
